vertex_id|name|category
62|Javier Lu|Principal-Investigator
63|Anna Kertesz|Senior-Researcher
64|Oscar Krioukov|Senior-Researcher
65|Sergei Jeong|Researcher
66|Emilio Li|Postdoc
67|Maria Thomsen|Postdoc
68|Umberto Holme|Postdoc
69|Takeshi Onnela|Principal-Investigator
70|Maria Serrano|Researcher
71|Sergei Poulsen|Principal-Investigator
72|Giovanni Fortunato|Principal-Investigator
73|Jean Dorogovtsev|Researcher
74|Carlos Berg|Researcher
75|Barbara Dahl|Researcher
76|Zoltan Holme|Senior-Researcher
77|Nina Song|Researcher
78|Eva Guimera|Principal-Investigator
79|Petra Strogatz|Researcher
80|Wolfgang Lu|Researcher
81|Peter Lai|Postdoc
82|Clara Chung|Researcher
83|Luca Onnela|Postdoc
84|Xin Aiello|Postdoc
85|Maria Holme|Postdoc
86|Boris Guimera|Postdoc
87|Ingrid Arenas|Postdoc
88|Christoph Liu|Researcher
90|Yuri Stanley|Postdoc
91|Michael Vespignani|Postdoc
92|Mikhail Liu|Postdoc
93|Anna Sole|Postdoc
94|Beth Faloutsos|Senior-Researcher
95|Albert Park|Researcher
96|Carlos Jensen|Principal-Investigator
97|Yasmin Mendes|Principal-Investigator
98|Vera Wang|Researcher
99|Zhao Havlin|Senior-Researcher
100|Julia Bollobas|Researcher
102|Hans Dahl|Postdoc
103|Marco Muller|Postdoc
104|Oscar Fortunato|Postdoc
105|Wei Lund|Postdoc
106|Zoltan Berg|Researcher
107|Oscar Girvan|Postdoc
108|Diana Faloutsos|Postdoc
109|Boris Porter|Postdoc
111|Mei Watts|Postdoc
112|Clara Palla|Postdoc
113|Fei Sole|Postdoc
114|Gregor Jensen|Researcher
116|Helena Eriksson|Postdoc
117|Giulia Karlsson|Senior-Researcher
118|Vera Redner|Researcher
119|Diana Jensen|Postdoc
120|Zoltan Krioukov|Postdoc
121|Fatima Karlsson|Senior-Researcher
122|Victor Barthelemy|Postdoc
123|Fatima Albert|Postdoc
124|Luca Riordan|Postdoc
126|Sara Kaski|Senior-Researcher
127|Clara Hansen|Principal-Investigator
128|Clara Palla 2|Senior-Researcher
129|Victor Redner|Postdoc
130|Ingrid Muller|Postdoc
131|Elena Girvan|Researcher
132|Martin Berg|Principal-Investigator
133|Tatiana Maslov|Senior-Researcher
134|Sergei Stanley|Senior-Researcher
135|Adrian Poulsen|Postdoc
136|Dmitri Liu|Senior-Researcher
137|Lorenzo Leicht|Postdoc
138|Giulia Clauset|Postdoc
139|Giulia Boguna|Senior-Researcher
140|Michael Song|Senior-Researcher
141|Diana Aiello|Senior-Researcher
142|Gregor Li|Senior-Researcher
143|Umberto Barrat|Senior-Researcher
144|Diana Caldarelli|Senior-Researcher
145|Yasmin Vicsek|Senior-Researcher
146|Eva Redner|Senior-Researcher
147|Victor Leicht|Senior-Researcher
148|Niklas Palla|Senior-Researcher
149|Maria Chen|Researcher
150|Carlos Watts|Principal-Investigator
151|Wei Radicchi|Principal-Investigator
152|Stefan Leicht|Postdoc
153|Umberto Song|Researcher
154|Olga Jeong|Researcher
155|Wei Holm|Researcher
156|Adrian Redner|Researcher
157|Oscar Caldarelli|Postdoc
158|Mikhail Newman|Postdoc
160|Helena Berg|Postdoc
161|Javier Mendes|Postdoc
162|Pierre Lai|Senior-Researcher
163|Nadia Bollobas|Postdoc
164|Zoltan Valverde|Postdoc
165|Julia Leicht|Postdoc
166|Giovanni Zhang|Postdoc
167|Xin Redner|Postdoc
169|Umberto Riordan|Postdoc
170|Victor Chung|Postdoc
171|Takeshi Kaski|Researcher
172|Nina Watts|Postdoc
173|Olga Onnela|Postdoc
174|Oliver Vespignani|Postdoc
175|Beth Farkas|Postdoc
176|Victor Radicchi|Postdoc
177|Martin Bollobas|Researcher
179|Henrik Mendes|Postdoc
180|Clara Yan|Postdoc
181|Carlos Radicchi|Postdoc
182|Zoltan Chung|Postdoc
183|Daniel Jensen|Postdoc
184|Yasmin Vicsek 2|Researcher
185|Giovanni Danon|Postdoc
186|Takeshi Mendes|Senior-Researcher
187|Elena Palla|Postdoc
188|Pierre Guimera|Postdoc
189|Ingrid Eriksson|Senior-Researcher
190|Clara Kim|Researcher
191|Clara Lu|Researcher
192|Eva Watts|Researcher
193|Yuri Thomsen|Researcher
194|Oliver Li|Principal-Investigator
195|Daniel Dorogovtsev|Researcher
196|Yuri Kaski|Researcher
197|Marco Holm|Researcher
198|Tatiana Fischer|Researcher
199|Barbara Havlin|Researcher
200|Christoph Valverde|Postdoc
201|Daniel Arenas|Researcher
202|Stefan Berg|Researcher
203|Anna Albert|Senior-Researcher
205|Giovanni Bollobas|Postdoc
206|Ingrid Kim|Postdoc
207|Laura Pedersen|Researcher
208|Jean Poulsen|Postdoc
209|Lei Serrano|Postdoc
210|James Stanley|Postdoc
211|Marco Girvan|Postdoc
212|Boris Jeong|Postdoc
213|Pierre Riordan|Postdoc
214|Zoltan Holme 2|Postdoc
215|Cesar Lund|Postdoc
216|Raj Pedersen|Principal-Investigator
217|Hiroshi Vicsek|Senior-Researcher
218|Lucia Zhang|Senior-Researcher
219|Oliver Vicsek|Principal-Investigator
220|Javier Lund|Senior-Researcher
221|Christoph Strogatz|Senior-Researcher
222|James Krioukov|Senior-Researcher
223|Mei Sole|Postdoc
224|Jean Mendes|Senior-Researcher
225|Ingrid Fortunato|Senior-Researcher
226|Klaus Motter|Postdoc
227|Fei Lund|Postdoc
228|Boris Riordan|Researcher
229|Umberto Newman|Researcher
230|James Guimera|Researcher
231|Victor Barthelemy 2|Researcher
233|Robert Barabasi|Postdoc
234|Tatiana Poulsen|Postdoc
235|Vera Lu|Researcher
237|Michael Guimera|Postdoc
238|Xin Park|Postdoc
239|Zhao Vespignani|Senior-Researcher
240|Lei Jensen|Postdoc
241|Ivan Krapivsky|Postdoc
242|Gregor Jensen 2|Postdoc
243|Takeshi Barthelemy|Senior-Researcher
244|Michael Holme|Senior-Researcher
245|Emilio Valverde|Researcher
246|Albert Maslov|Postdoc
247|Nina Song 2|Researcher
248|Franz Girvan|Postdoc
249|Zhao Madsen|Postdoc
250|Mei Sneppen|Postdoc
251|Katya Park|Researcher
252|Clara Sole|Senior-Researcher
254|Igor Chavez|Researcher
255|Erik Zhang|Researcher
256|Katya Valverde|Postdoc
258|Boris Chung|Researcher
259|Katya Lai|Researcher
260|Vera Barabasi|Postdoc
261|Mei Lund|Postdoc
262|Tatiana Newman|Senior-Researcher
263|Wolfgang Boguna|Senior-Researcher
264|Wolfgang Albert|Senior-Researcher
265|Petra Danon|Principal-Investigator
266|Henrik Boccaletti|Principal-Investigator
267|Andrea Castellano|Senior-Researcher
268|Erik Leicht|Principal-Investigator
269|Mikhail Wang|Senior-Researcher
270|Karl Radicchi|Postdoc
271|Luca Radicchi|Postdoc
273|Igor Fischer|Postdoc
274|Hiroshi Palla|Postdoc
275|Nina Aiello|Senior-Researcher
276|Gregor Moore|Postdoc
277|Mikhail Lu|Senior-Researcher
278|Hans Radicchi|Senior-Researcher
279|Franz Newman|Senior-Researcher
280|Elena Dorogovtsev|Senior-Researcher
281|Dmitri Krioukov|Principal-Investigator
282|Marco Hansen|Senior-Researcher
283|Yasmin Vicsek 3|Senior-Researcher
284|Andrea Zhang|Senior-Researcher
285|Boris Lund|Senior-Researcher
286|Wolfgang Motter|Researcher
287|Dmitri Radicchi|Postdoc
288|Adrian Kertesz|Researcher
289|Clara Poulsen|Postdoc
290|Laura Dahl|Postdoc
291|Luca Maslov|Postdoc
292|Yuri Li|Postdoc
293|Yasmin Aiello|Senior-Researcher
294|Lorenzo Porter|Principal-Investigator
296|Niklas Holm|Researcher
297|Alex Girvan|Postdoc
298|Ralf Aiello|Researcher
299|Ivan Vicsek|Researcher
300|Igor Aiello|Senior-Researcher
301|Stefan Aiello|Principal-Investigator
302|Elena Riordan|Senior-Researcher
303|Raj Porter|Senior-Researcher
304|Oscar Holme|Postdoc
305|Wolfgang Fortunato|Senior-Researcher
306|Joanna Song|Researcher
307|Raj Arenas|Senior-Researcher
308|Adrian Girvan|Senior-Researcher
309|Jean Holm|Senior-Researcher
310|Michael Amaral|Postdoc
311|Marco Caldarelli|Postdoc
312|Javier Faloutsos|Postdoc
313|Fatima Barabasi|Postdoc
314|Maria Albert|Researcher
315|Mikhail Lu 2|Postdoc
316|Igor Barthelemy|Senior-Researcher
317|Stefan Krapivsky|Researcher
318|Klaus Caldarelli|Postdoc
319|Nina Girvan|Postdoc
320|Luca Farkas|Senior-Researcher
321|Laura Newman|Researcher
322|Xin Yan|Researcher
323|Ivan Fischer|Senior-Researcher
324|Beth Porter|Researcher
325|Olga Aiello|Researcher
326|Victor Farkas|Researcher
327|Sergei Maslov|Principal-Investigator
328|Lorenzo Zhou|Senior-Researcher
329|Yasmin Eriksson|Senior-Researcher
330|Niklas Serrano|Senior-Researcher
331|James Valverde|Postdoc
332|Christoph Barthelemy|Researcher
333|Eva Karlsson|Researcher
334|Niklas Berg|Researcher
335|James Redner|Researcher
336|Hiroshi Girvan|Postdoc
337|James Arenas|Senior-Researcher
338|Yuri Leicht|Researcher
339|Xin Dahl|Researcher
340|Tatiana Sole|Researcher
341|Martin Porter|Researcher
342|Thomas Song|Researcher
343|Julia Muller|Principal-Investigator
344|Emilio Moore|Postdoc
345|Olga Krapivsky|Researcher
346|Lorenzo Poulsen|Senior-Researcher
347|Yasmin Latora|Researcher
348|Alex Poulsen|Senior-Researcher
349|Stefan Albert|Senior-Researcher
350|Oscar Li|Senior-Researcher
351|James Motter|Senior-Researcher
352|Eva Palla|Senior-Researcher
353|Robert Guimera|Senior-Researcher
354|Martin Stanley|Postdoc
355|Wei Watts|Postdoc
356|Xin Dorogovtsev|Postdoc
357|Karl Vicsek|Researcher
358|Diana Liu|Researcher
359|Beth Moreno|Postdoc
360|Fei Vicsek|Researcher
361|Anna Albert 2|Researcher
362|Victor Caldarelli|Principal-Investigator
363|Lei Boccaletti|Postdoc
364|Vera Fortunato|Postdoc
365|Adrian Park|Postdoc
366|Jean Bollobas|Postdoc
367|Ralf Holme|Postdoc
368|Oscar Maslov|Postdoc
369|Albert Poulsen|Postdoc
370|Beth Moreno 2|Postdoc
371|Wei Pedersen|Senior-Researcher
372|Helena Leicht|Postdoc
373|Daniel Liu|Postdoc
374|Victor Holme|Postdoc
375|Clara Boguna|Senior-Researcher
376|Eva Thomsen|Senior-Researcher
377|Petra Hansen|Senior-Researcher
378|Emilio Radicchi|Researcher
379|Beth Jensen|Postdoc
380|Thomas Hansen|Postdoc
381|Wei Song|Postdoc
382|Albert Caldarelli|Postdoc
383|Paolo Holm|Postdoc
384|Henrik Yan|Postdoc
385|Javier Dahl|Senior-Researcher
386|Petra Jensen|Senior-Researcher
387|Wolfgang Barthelemy|Senior-Researcher
388|Zhao Havlin 2|Senior-Researcher
389|Stefan Barthelemy 2|Senior-Researcher
390|Franz Moreno|Senior-Researcher
391|Robert Onnela|Senior-Researcher
392|Gregor Dahl|Senior-Researcher
393|David Newman|Researcher
394|Igor Bianconi|Researcher
395|Clara Guimera|Researcher
396|Umberto Sneppen|Researcher
397|Thomas Boguna|Researcher
398|Mikhail Song|Researcher
399|Boris Caldarelli|Researcher
400|Christoph Muller|Researcher
401|Nina Strogatz|Senior-Researcher
402|James Motter 2|Principal-Investigator
403|Christoph Motter|Senior-Researcher
404|Pierre Kim|Senior-Researcher
405|Daniel Madsen|Senior-Researcher
406|Robert Albert|Postdoc
408|Tatiana Moreno|Senior-Researcher
409|Sara Serrano|Researcher
410|Vera Chen|Senior-Researcher
411|Oliver Serrano|Researcher
412|Henrik Jensen|Senior-Researcher
413|Daniel Havlin|Researcher
414|Oliver Pedersen|Postdoc
415|Wolfgang Albert 2|Senior-Researcher
416|Franz Redner|Senior-Researcher
417|Pierre Dorogovtsev|Postdoc
418|Franz Sole|Postdoc
419|Petra Faloutsos|Postdoc
421|Stefan Aiello 2|Postdoc
422|Fatima Strogatz|Postdoc
423|Robert Havlin|Postdoc
424|Zoltan Stanley|Postdoc
425|Marco Holme|Postdoc
426|Christoph Sneppen|Postdoc
427|Javier Serrano|Postdoc
428|Daniel Girvan|Researcher
429|Hans Jensen|Postdoc
430|Vera Serrano|Postdoc
431|Helena Latora|Postdoc
432|Dmitri Holme|Postdoc
433|Javier Latora|Postdoc
434|Franz Mendes|Postdoc
435|Javier Fischer|Postdoc
436|Julia Lu|Postdoc
437|Emilio Karlsson|Postdoc
438|Fei Vicsek 2|Postdoc
439|Barbara Kaski|Researcher
440|Fei Holme|Postdoc
441|Barbara Albert|Postdoc
442|Fei Poulsen|Postdoc
443|Sergei Arenas|Senior-Researcher
444|Tatiana Strogatz|Postdoc
445|Yuri Yan|Postdoc
446|James Sneppen|Researcher
447|Sara Krioukov|Researcher
448|James Sole|Researcher
449|Zhao Newman|Researcher
450|Ingrid Poulsen|Postdoc
452|Yasmin Vicsek 4|Senior-Researcher
453|Adrian Mendes|Senior-Researcher
454|Clara Boccaletti|Senior-Researcher
455|Sara Thomsen|Senior-Researcher
456|Lei Sole|Senior-Researcher
457|Tatiana Motter|Senior-Researcher
458|Stefan Bollobas|Senior-Researcher
459|Franz Sneppen|Senior-Researcher
460|Hiroshi Sole|Researcher
461|Luca Girvan|Researcher
462|Lei Lai|Researcher
463|Michael Kertesz|Senior-Researcher
464|Gregor Barabasi|Researcher
465|Daniel Porter|Postdoc
466|Anna Zhang|Postdoc
467|Wei Stanley|Researcher
468|Fei Porter|Researcher
469|Boris Krapivsky|Researcher
470|Franz Muller|Researcher
471|Giulia Jeong|Researcher
472|Martin Muller|Researcher
473|Vera Vicsek|Senior-Researcher
474|Franz Albert|Postdoc
475|Vera Moore|Researcher
476|Franz Havlin|Postdoc
477|Franz Krapivsky|Postdoc
478|Victor Bollobas|Researcher
479|Oliver Porter|Researcher
480|Klaus Serrano|Researcher
481|Zoltan Newman|Senior-Researcher
482|Fatima Kim|Senior-Researcher
483|Beth Sneppen|Postdoc
484|Julia Caldarelli|Postdoc
485|Christoph Li|Postdoc
486|Sergei Porter|Postdoc
487|Zoltan Porter|Postdoc
488|Paolo Fischer|Researcher
489|Alex Havlin|Researcher
490|Hans Barthelemy|Senior-Researcher
491|Klaus Newman|Postdoc
492|Gregor Lund|Postdoc
493|Takeshi Aiello|Postdoc
494|Giovanni Park|Postdoc
495|Daniel Fischer|Postdoc
496|Tatiana Liu|Senior-Researcher
497|Yuri Krioukov|Postdoc
498|Maria Thomsen 2|Postdoc
499|Clara Pedersen|Postdoc
500|Oscar Leicht|Senior-Researcher
501|Paolo Kaski|Postdoc
502|Laura Poulsen|Researcher
503|Michael Latora|Postdoc
505|Petra Hansen 2|Postdoc
506|Dmitri Amaral|Postdoc
507|Hans Karlsson|Researcher
508|Beth Song|Researcher
509|Wei Vicsek|Researcher
511|Mei Bollobas|Postdoc
512|Cesar Dahl|Postdoc
513|Christoph Poulsen|Postdoc
514|Fatima Bollobas|Researcher
515|Albert Leicht|Researcher
516|Paolo Clauset|Principal-Investigator
517|Dmitri Poulsen|Principal-Investigator
518|Emilio Boguna|Postdoc
519|Fatima Watts|Postdoc
520|Wei Kertesz|Postdoc
521|Yuri Lu|Postdoc
522|Raj Sneppen|Senior-Researcher
523|Stefan Wang|Senior-Researcher
524|Niklas Serrano 2|Senior-Researcher
525|Beth Lu|Researcher
526|Beth Riordan|Researcher
527|Alex Faloutsos|Postdoc
528|Nina Poulsen|Postdoc
529|Eva Lu|Postdoc
530|Wei Krioukov|Senior-Researcher
531|David Watts|Senior-Researcher
532|Beth Guimera|Senior-Researcher
533|Javier Clauset|Researcher
534|Michael Maslov|Postdoc
535|Tatiana Valverde|Postdoc
537|Katya Faloutsos|Senior-Researcher
538|Emilio Song|Postdoc
539|Ivan Hansen|Researcher
540|Giovanni Porter|Researcher
541|Sergei Lund|Researcher
542|Thomas Fischer|Researcher
544|Daniel Maslov|Postdoc
545|Sergei Park|Postdoc
546|Zhao Boccaletti|Postdoc
547|Ivan Holme|Senior-Researcher
548|Lorenzo Mendes|Researcher
549|Andrea Holme|Researcher
550|Zhao Pedersen|Researcher
552|Giulia Poulsen|Postdoc
553|Victor Radicchi 2|Postdoc
554|Fei Krioukov|Postdoc
556|Barbara Muller|Postdoc
557|Zhao Madsen 2|Postdoc
558|Raj Farkas|Postdoc
559|Emilio Girvan|Postdoc
560|Helena Caldarelli|Postdoc
561|Cesar Stanley|Senior-Researcher
562|Olga Holm|Senior-Researcher
563|Pierre Kim 2|Researcher
564|Niklas Watts|Researcher
565|Peter Yan|Researcher
566|Martin Bianconi|Researcher
567|Helena Strogatz|Researcher
568|David Clauset|Postdoc
569|Eva Li|Postdoc
570|Wolfgang Sneppen|Postdoc
571|Sergei Pedersen|Postdoc
572|Julia Serrano|Postdoc
573|Wolfgang Arenas|Postdoc
574|Ingrid Aiello|Researcher
575|Martin Porter 2|Postdoc
576|David Poulsen|Postdoc
577|Maria Lancichinetti|Postdoc
578|Takeshi Arenas|Postdoc
580|Peter Dorogovtsev|Postdoc
581|Diana Moreno|Postdoc
582|Giovanni Thomsen|Postdoc
583|Ingrid Liu|Postdoc
584|Jean Palla|Postdoc
585|Christoph Leicht|Researcher
586|Julia Fortunato|Researcher
587|Wei Muller|Researcher
589|Nadia Chavez|Senior-Researcher
590|Diana Barrat|Senior-Researcher
591|Hiroshi Chung|Senior-Researcher
592|Wolfgang Barthelemy 2|Researcher
593|Sergei Aiello|Postdoc
594|Mei Leicht|Postdoc
595|Hans Stanley|Researcher
596|Adrian Dorogovtsev|Researcher
597|Takeshi Porter|Researcher
598|Julia Sole|Postdoc
599|Barbara Motter|Postdoc
600|Carlos Havlin|Postdoc
602|Joanna Krapivsky|Postdoc
603|Lei Lu|Postdoc
606|Fei Zhang|Researcher
607|Peter Watts|Researcher
608|Mei Wang|Researcher
609|Hans Clauset|Researcher
610|Raj Moreno|Postdoc
611|Lei Liu|Researcher
612|Clara Barrat|Researcher
614|Julia Wang|Postdoc
615|Helena Aiello|Postdoc
616|Igor Clauset|Postdoc
617|Thomas Faloutsos|Postdoc
618|Wolfgang Boccaletti|Postdoc
619|Paolo Guimera|Postdoc
620|Umberto Danon|Postdoc
621|Boris Poulsen|Postdoc
622|Gregor Motter|Postdoc
623|Hiroshi Latora|Postdoc
624|Nadia Bollobas 2|Postdoc
625|Javier Onnela|Researcher
626|Anna Kaski|Researcher
627|Victor Park|Researcher
628|Mei Arenas|Researcher
629|Victor Caldarelli 2|Postdoc
630|Umberto Thomsen|Researcher
631|Tatiana Lancichinetti|Principal-Investigator
632|Boris Clauset|Postdoc
633|Christoph Pedersen|Postdoc
635|Eva Farkas|Postdoc
636|Boris Jensen|Postdoc
637|Nadia Moreno|Postdoc
638|Anna Park|Senior-Researcher
639|Marco Fischer|Researcher
640|Lorenzo Moore|Postdoc
641|Petra Riordan|Postdoc
642|Raj Vicsek|Researcher
643|Mei Jensen|Postdoc
645|Adrian Wang|Principal-Investigator
646|Lucia Bollobas|Postdoc
647|Adrian Yan|Postdoc
648|James Bianconi|Postdoc
650|Elena Mendes 2|Researcher
651|Vera Lancichinetti|Researcher
652|Vera Moore 2|Senior-Researcher
653|Anna Krioukov|Researcher
654|Klaus Palla|Principal-Investigator
655|Albert Strogatz|Senior-Researcher
656|Erik Moore|Researcher
657|Gregor Zhang|Senior-Researcher
658|Pierre Hansen|Researcher
659|Hans Vespignani|Researcher
660|Martin Muller 2|Researcher
661|Franz Boguna|Researcher
662|Petra Albert|Senior-Researcher
663|Erik Fischer|Senior-Researcher
664|Albert Faloutsos|Researcher
665|Karl Wang|Researcher
666|Mei Bollobas 2|Researcher
667|Julia Holm|Postdoc
668|Clara Strogatz|Postdoc
669|Nina Farkas|Postdoc
670|Lei Albert|Postdoc
671|Yuri Moore|Postdoc
672|Christoph Newman|Postdoc
673|Sergei Serrano|Postdoc
674|Christoph Barabasi|Postdoc
675|Michael Eriksson|Postdoc
676|Elena Chung|Senior-Researcher
677|Boris Albert|Postdoc
678|Karl Eriksson|Postdoc
679|Peter Chung|Postdoc
680|Nadia Berg|Postdoc
681|Martin Havlin|Researcher
682|Thomas Porter|Researcher
683|Raj Barthelemy|Researcher
684|Peter Lancichinetti|Researcher
685|Giovanni Hansen|Postdoc
686|Giovanni Leicht|Postdoc
689|Daniel Moreno|Researcher
690|Robert Muller|Researcher
692|Oliver Zhou|Postdoc
693|Giulia Faloutsos|Senior-Researcher
694|Julia Fischer|Senior-Researcher
695|Beth Wang|Senior-Researcher
696|Petra Fischer|Senior-Researcher
697|Helena Vespignani|Principal-Investigator
698|Takeshi Castellano|Senior-Researcher
699|Nadia Latora|Postdoc
700|Xin Guimera|Researcher
701|Umberto Kertesz|Researcher
702|Ivan Chung|Researcher
704|Ingrid Yan|Researcher
705|Laura Holme|Researcher
706|Cesar Clauset|Researcher
707|Nina Holme|Researcher
708|Tatiana Wang|Researcher
709|Stefan Leicht 2|Senior-Researcher
710|Klaus Bianconi|Researcher
711|Jean Watts|Postdoc
712|Dmitri Danon|Postdoc
713|Zhao Kim|Postdoc
715|Beth Kertesz|Researcher
716|Oliver Kaski|Researcher
717|Ivan Kertesz|Researcher
718|Elena Valverde|Researcher
719|Zoltan Farkas|Researcher
720|Thomas Yan|Postdoc
721|Sara Serrano 2|Researcher
723|Maria Bianconi|Researcher
724|Boris Mendes|Researcher
725|Alex Holm|Researcher
726|Barbara Vespignani|Researcher
729|Eva Lund|Postdoc
730|Petra Barrat|Postdoc
731|Maria Lancichinetti 2|Postdoc
732|Takeshi Girvan|Postdoc
733|Javier Serrano 2|Postdoc
734|Nina Arenas|Postdoc
736|Dmitri Redner|Postdoc
737|Franz Kaski|Postdoc
738|Emilio Pedersen|Postdoc
739|Victor Caldarelli 3|Postdoc
742|Mikhail Moreno|Principal-Investigator
743|Mei Barthelemy|Senior-Researcher
744|Henrik Poulsen|Senior-Researcher
745|Oliver Maslov|Postdoc
746|Tatiana Moreno 2|Senior-Researcher
747|Alex Song|Postdoc
748|Diana Onnela|Postdoc
750|Clara Lai|Postdoc
751|Luca Mendes|Postdoc
752|Katya Leicht|Postdoc
753|Franz Berg|Postdoc
754|Fei Sole 2|Postdoc
755|Alex Watts|Postdoc
756|Giulia Albert|Principal-Investigator
757|Victor Fischer|Senior-Researcher
758|Pierre Eriksson|Senior-Researcher
759|Oliver Song|Researcher
760|Thomas Latora|Postdoc
761|Henrik Bianconi|Principal-Investigator
762|Maria Bianconi 2|Researcher
763|Lei Vicsek|Researcher
764|Yasmin Jeong|Senior-Researcher
765|Olga Kertesz|Senior-Researcher
766|Andrea Poulsen|Researcher
767|Adrian Holm|Researcher
768|Wei Muller 2|Researcher
769|Emilio Holme|Researcher
770|Helena Chen|Senior-Researcher
771|Klaus Chung|Senior-Researcher
772|Maria Jeong|Senior-Researcher
773|Adrian Krioukov|Senior-Researcher
774|Christoph Eriksson|Senior-Researcher
775|Helena Yan|Senior-Researcher
776|Yuri Chen|Researcher
777|Giulia Radicchi|Postdoc
778|Lorenzo Berg 2|Postdoc
780|Petra Havlin|Postdoc
781|James Thomsen|Postdoc
783|Hans Palla|Researcher
784|Stefan Farkas|Postdoc
785|Franz Song|Postdoc
786|Tatiana Newman 2|Postdoc
787|Niklas Vicsek|Postdoc
788|Carlos Boguna|Researcher
789|Igor Chung|Postdoc
790|Christoph Poulsen 2|Postdoc
792|Peter Madsen|Researcher
793|Diana Barabasi|Researcher
794|Carlos Dorogovtsev|Researcher
795|Nina Serrano|Researcher
796|Wolfgang Albert 3|Researcher
797|Helena Kaski|Researcher
798|Umberto Castellano|Researcher
799|Barbara Faloutsos|Senior-Researcher
800|Anna Riordan|Senior-Researcher
801|Javier Chavez|Senior-Researcher
802|Yuri Lancichinetti|Senior-Researcher
803|Beth Holme|Senior-Researcher
804|Erik Havlin|Senior-Researcher
805|Wolfgang Krioukov|Senior-Researcher
806|Fatima Boguna|Principal-Investigator
807|Joanna Clauset|Senior-Researcher
808|Wei Zhou|Researcher
809|Sara Li|Postdoc
810|Niklas Boguna|Postdoc
812|Olga Aiello 2|Postdoc
813|Lorenzo Kertesz|Postdoc
814|Klaus Vicsek|Postdoc
815|Petra Havlin 2|Postdoc
816|Thomas Havlin|Postdoc
817|Laura Li|Postdoc
818|Tatiana Moreno 3|Postdoc
819|Adrian Maslov|Postdoc
820|Michael Caldarelli|Postdoc
821|Franz Radicchi|Researcher
822|Henrik Watts|Researcher
823|Wolfgang Vespignani|Researcher
824|Hans Caldarelli|Researcher
825|Gregor Lu|Senior-Researcher
826|Giulia Amaral|Senior-Researcher
827|Boris Sneppen|Senior-Researcher
828|Niklas Jensen|Senior-Researcher
829|Nina Kertesz|Senior-Researcher
830|Giovanni Karlsson|Senior-Researcher
831|Clara Arenas|Senior-Researcher
832|Wei Newman|Senior-Researcher
833|Umberto Watts|Senior-Researcher
834|Takeshi Lancichinetti|Senior-Researcher
835|Robert Chung|Postdoc
836|Carlos Barthelemy|Postdoc
837|Oscar Jensen|Postdoc
839|Olga Thomsen|Researcher
840|Marco Amaral|Senior-Researcher
841|Takeshi Krioukov|Postdoc
842|Barbara Lai|Postdoc
843|Eva Li 2|Senior-Researcher
844|Daniel Song|Researcher
845|Vera Eriksson|Researcher
846|Umberto Caldarelli|Researcher
847|Helena Li|Researcher
848|Emilio Amaral|Postdoc
849|Dmitri Chavez|Postdoc
850|Elena Li|Postdoc
851|Maria Muller|Postdoc
852|Tatiana Maslov 2|Postdoc
853|Vera Eriksson 2|Postdoc
855|Ingrid Caldarelli|Postdoc
856|Hiroshi Latora 2|Postdoc
857|Franz Li|Postdoc
859|Emilio Newman|Postdoc
860|Anna Chavez|Senior-Researcher
861|Niklas Park|Postdoc
862|Wolfgang Newman|Postdoc
